CODE,corn,wheat,oat,barley,hay,soybean,horse,cattle,swine,sheep,population
830,1.3523e-05,1.46193e-05,2.03045e-05,3.43237e-07,6.25571e-05,0,1.79479e-05,5.07504e-05,2.94946e-05,1.19449e-06,0.001956944
1270,0.022469872,0.136541833,0.037592676,0.003763469,0.060547218,0,0.009084113,0.030756441,0.035187375,0.061637535,0.050681885
370,6.61588e-06,7.15225e-06,9.93361e-06,1.67922e-07,3.06049e-05,0,8.78071e-06,2.48287e-05,1.44297e-05,5.84381e-07,0.001632446
690,2.86716e-06,0,0,0,1.82243e-06,0,9.85846e-08,5.42215e-07,4.92923e-08,0,0.000135501
670,0.000122646,0.000395487,0.000102135,6.90762e-06,0.000538527,0,5.84958e-05,0.000332881,0.000195164,0.000166877,0.003127685
780,5.01919e-05,0.000160599,4.25272e-05,2.81063e-06,0.000221282,0,2.47525e-05,0.000137588,8.06673e-05,6.74484e-05,0.004265275
430,0.010202675,0.012902097,0.009915792,0.000600146,0.009583923,0,0.0035586,0.008486594,0.018644712,0.005964428,0.021134588
350,0,0,0,0,0,0,0,0,0,0,0.000259784
1010,0.013938664,0.076926144,0.029579539,0.001275082,0.054864615,0,0.007668623,0.025015941,0.022978366,0.046319203,0.06834579
190,4.17e-13,1.096e-12,1.7794e-11,0,2.37e-13,0,5.71e-13,4.8226e-10,1.854e-12,0,0.000581004
570,3.5e-14,9.3e-14,1.504e-12,0,2e-14,0,4.8e-14,4.0755e-11,1.57e-13,0,0.00303301
870,3.19163e-05,8.92557e-05,3.10153e-05,1.6013e-06,0.000142029,0,2.0805e-05,9.36342e-05,5.47804e-05,3.52648e-05,0.002536435
310,7.96884e-07,0,7.07426e-07,1.8183e-08,3.05936e-06,0,4.13742e-07,0.000305755,8.27484e-07,0,0.000159433
550,0.008374249,0.037609012,0.011598429,0.000855492,0.031493077,0,0.002485547,0.018474015,0.014277816,0.014114266,0.04048591
330,1.263e-12,2.63e-13,7.65e-13,9.82e-13,7.34e-13,0,8.9e-14,1.65247e-10,8.64e-13,0,0.00014335
90,7.11222e-06,7.68884e-06,1.06789e-05,1.80521e-07,3.2901e-05,0,9.43946e-06,2.66914e-05,1.55123e-05,6.28224e-07,0.001692958
730,4.18667e-05,0.00012277,3.08137e-05,2.13957e-06,0.00016759,0,1.74533e-05,0.000102091,5.94547e-05,5.20717e-05,0.000141732
650,0.008677907,0.011973138,0.015887344,0.000450273,0.018603673,0,0.00288828,0.008302882,0.014857529,0.006094197,0.028468875
30,6.3055e-07,0,5.59764e-07,1.43877e-08,2.42078e-06,0,3.27381e-07,0.000241935,6.54763e-07,0,0.000152966
