CODE,corn,wheat,oat,barley,hay,soybean,horse,cattle,swine,sheep,population
830,0.036891688,0.000330452,0.045802632,0.000250342,0.081150994,6.25872e-06,0.00075979,0.124084657,0.021284095,0.002291884,0.038582452
1270,0.247390267,0.008276577,0.104464571,0.008135595,0.16258715,0.009078743,0.003338789,0.307155062,0.131868615,0.023989422,0.141920238
370,0.001984391,1.88392e-05,0.004672111,9.41958e-06,0.018792058,0,0.00021351,0.016603576,0.000376783,0.00067821,0.01079314
690,0.00827591,0.000111976,0.025661522,9.99173e-05,0.058691084,2.4118e-05,0.001074972,0.077859703,0.006530802,0.00107325,0.038481946
670,0.006436131,0.00023934,0.035390657,0.000163666,0.053541972,7.39128e-05,0.000981995,0.078146684,0.003016661,0.000973211,0.035048694
780,0.015296419,0.000121798,0.019468831,8.52255e-05,0.035044861,4.20297e-06,0.000398305,0.054888309,0.010326163,0.0008838,0
430,0.150203192,0.000389562,0.091579072,0.000952048,0.144848793,0.000373901,0.002721689,0.256660465,0.316906369,0.018970167,0.058653423
350,0.070010054,0.000244584,0.080819916,0.000186462,0.104762043,0.016929152,0.003039066,0.174687441,0.039498303,0.005320195,0.141177268
1010,0.191742976,0.036089693,0.077223204,0.008549736,0.108049283,0.032051167,0.00162919,0.1827071,0.082872441,0.017489587,0.650667046
190,0.07080997,0.000785864,0.094240968,0.000493569,0.133988069,0.000801275,0.002511435,0.256617485,0.038065194,0.004256251,0.040418194
570,0.0573052,0.000295388,0.040815964,8.74503e-05,0.061230749,0.001303981,0.001251511,0.095931023,0.034659464,0.004590168,0.033989016
870,0.148987426,0.000768638,0.139106831,0.001112855,0.188144998,4.85225e-05,0.002194075,0.354367939,0.106938823,0.004189319,0.246768548
310,0.000375903,7.26042e-05,0.004524878,0.000108906,0.030657682,2.34207e-06,0.000313837,0.022254342,0.001037536,0.001979049,0.052740619
550,0.206292245,0.003491027,0.109350595,0.001201215,0.165896085,0.002517723,0.003338192,0.302316875,0.104183781,0.013653075,0.134316833
330,0.116486567,0.000396115,0.096417081,0.000356318,0.128756891,0.024473721,0.002541242,0.229482267,0.0921992,0.013722701,0.047308895
90,0.099039211,0.001679624,0.1752736,0.00121517,0.225893001,0.000154817,0.002146994,0.355980387,0.057565743,0.002897711,0.365402424
730,0.046505532,0.000633415,0.095629764,0.0007702,0.147305097,0.000479787,0.002023176,0.248704205,0.032731525,0.003489267,0.088095238
650,0.215000802,0.000261004,0.108715548,0.000711605,0.181331294,0.000315175,0.002289941,0.345680089,0.400582019,0.02395081,0.044671086
30,0.001000276,5.483e-05,0.007105663,0.000163008,0.033452189,3.61e-13,0.000397147,0.025961235,0.00050977,0.000417894,0.025747874
890,0.11505474,0.018310511,0.141172731,0.003126993,0.173518186,0.000451462,0.002595869,0.270514641,0.076355719,9.29494e-05,0.255211653
230,0.083974106,0.000625816,0.050876251,0.000260757,0.143285754,0.000649284,0.002406784,0.183903863,0.138318473,0.008276423,0.042636579
170,0.080537913,0.000292609,0.08172938,5.25199e-05,0.120718337,0.006498941,0.002100783,0.217672312,0.028058958,0.007055619,0.067669038
590,0.192221821,0.017748146,0.080862555,0.006278901,0.124500604,0.031484266,0.002300579,0.199718333,0.090710154,0.013921315,0.564624743
290,0.030739762,0.003965801,0.122814892,0.002447392,0.153529025,1.6017e-05,0.001701002,0.175248036,0.029394338,0.000496526,0.066262182
1190,0.018987823,1.90403e-05,0.039716221,0.000203095,0.102801089,0.000406191,0.00179295,0.146560175,0.006524436,0.005566077,0.02831602
770,0.077545312,0.001270005,0.043951349,0.00040577,0.089619301,0.001201554,0.001811186,0.094031546,0.058043041,0.015401023,0.028658444
1230,0.087789044,0.000277511,0.061814051,0.000266027,0.187352192,0.000501433,0.002476543,0.279795759,0.049967221,0.011645876,0.049115789
810,0.072413003,0.000375071,0.06111352,0.000301104,0.123202303,0.001548725,0.002451844,0.203229502,0.038755333,0.008609465,0.053748604
510,0.000257068,7.78734e-05,0.002083335,2.72575e-05,0.009760699,1.3629e-05,0.000144084,0.007085857,0.000229754,3.11904e-05,0.015243665
630,0.100748417,0.000240895,0.054464645,0.000416678,0.132208072,0.004811332,0.003352961,0.226882117,0.088316279,0.006133042,0.235910174
1250,0.000144302,3.0704e-06,0.000813624,3.99131e-05,0.003074884,8.655e-12,0.000130486,0.001765429,8.75037e-05,0.000525013,0.014325671
990,0.002856101,1.58931e-05,0.007712179,6.60389e-05,0.041882551,3.91832e-05,0.000624902,0.044881023,0.000954512,0.001350372,0.017564961
450,0.20309316,0.000489263,0.114386611,0.000425113,0.219234294,0.000975871,0.00181257,0.388139365,0.340162387,0.015398957,0.069109973
1130,0.002941592,2.08297e-05,0.004815075,5.67022e-05,0.017503663,4.86022e-05,0.000349471,0.019079754,0.000761438,0.002424306,0.010964316
130,0.02301408,8.87546e-05,0.016291829,1.95264e-05,0.036112519,0.005861339,0.000495252,0.05085471,0.007254811,0.005955424,0.016355729
1050,0.29326088,0.005898269,0.107201775,0.008155578,0.166539557,0.015745215,0.003014767,0.306058098,0.226167842,0.05003738,0.245127068
470,0.159148638,0.00293617,0.108301529,0.004250254,0.115011762,0.000427083,0.001617977,0.204024797,0.185623326,0.019374639,0.063344549
710,0.073043566,0.003557831,0.184071127,0.003405649,0.233815352,0.0003201,0.002358776,0.346160437,0.066937776,0.003492245,0.197346326
530,0.046217113,0.000259305,0.042333779,0.000120281,0.061102492,0.004114453,0.001138762,0.098937829,0.035258944,0.004486293,0.023666855
250,0.227448887,0.002772319,0.113679026,0.001417075,0.158987647,0.001033469,0.002017724,0.311310083,0.242193884,0.012193419,0.28025419
150,0.091906136,0.006677712,0.151100494,0.005882842,0.19438166,0.000531227,0.001337904,0.324063893,0.059745301,0.004627575,0.087624789
1290,0.017576904,9.15553e-05,0.01695435,3.47925e-05,0.045054476,0.000298476,0.000723288,0.053413766,0.006225816,0.003490078,0.018862086
950,0.086386025,0.000313674,0.066645831,0.000303871,0.106732333,0.003635019,0.002123831,0.200450476,0.037015114,0.01303869,0.040790654
490,0.130425696,0.00049243,0.073540342,0.000704012,0.16555903,0.001637983,0.002303335,0.285344523,0.201567363,0.021519251,0.039943516
930,0.165017416,0.003249764,0.118385518,0.001694837,0.139692703,0.015422653,0.002885456,0.262119854,0.14807653,0.023519165,0.059406333
610,0.067030912,0.005709687,0.195423929,0.001921398,0.236768062,0.000349758,0.002457391,0.351384244,0.07252711,0.001821467,0.083042625
1310,0.124935887,0.013289678,0.138709673,0.002685906,0.164937603,0.000243847,0.00210139,0.284060599,0.07781598,0.005335953,0.165382284
110,0.092207307,0.001180255,0.072504121,0.001017308,0.123160321,0.008785857,0.002107281,0.189910694,0.122394028,0.009582954,0.031272295
790,0.038637736,0.01218336,0.028746288,0.001081832,0.040923951,0.004037522,0.001384515,0.033197537,0.027290545,0.001635732,6.672856204
