CODE,corn,wheat,oat,barley,hay,soybean,horse,cattle,swine,sheep,population
830,1.11492e-06,4.5815e-06,3.92894e-06,4.7149e-08,1.09826e-05,0,3.71971e-06,8.246e-06,1.08067e-05,6.65632e-07,0.000312491
1270,0.004263116,0.012402588,0.003495671,0.000178532,0.008069098,0,0.001108413,0.007753475,0.017290156,0.001111123,0.00742835
370,5.45453e-07,2.24142e-06,1.92216e-06,2.30668e-08,5.37306e-06,0,1.8198e-06,4.03421e-06,5.287e-06,3.25648e-07,0.000308366
690,9.47666e-07,2.41387e-06,2.5183e-06,2.4295e-08,5.93857e-06,0,2.47892e-06,5.48795e-06,6.32606e-06,2.99222e-07,0.000112928
670,9.73463e-07,4.00023e-06,3.43047e-06,4.1167e-08,9.58924e-06,0,3.24777e-06,7.1998e-06,9.43564e-06,5.81181e-07,0.000224176
780,4.00137e-07,1.64427e-06,1.41007e-06,1.69215e-08,3.9416e-06,0,1.33498e-06,2.95944e-06,3.87847e-06,2.38891e-07,0.000314564
430,0.005089196,0.001095362,0.003168535,0.000188365,0.004243972,0,0.001295341,0.005541842,0.01141511,0.000611359,0.005141363
350,6.40377e-07,5.08231e-07,1.07875e-06,4.44638e-09,1.43649e-06,0,1.15718e-06,2.55465e-06,2.10569e-06,0,0.000114261
1010,0.001613963,0.003852355,0.002090722,0.000109621,0.005279698,0,0.000748583,0.006258099,0.009095502,0.000472207,0.008811423
190,1.20957e-06,9.59964e-07,2.03758e-06,8.39848e-09,2.7133e-06,0,2.18572e-06,4.82531e-06,3.9773e-06,0,0.000113933
570,7.9796e-07,6.33296e-07,1.34421e-06,5.54054e-09,1.78998e-06,0,1.44194e-06,3.18329e-06,2.62385e-06,6e-15,0.000160243
870,7.08078e-07,2.90499e-06,2.49098e-06,2.98868e-08,6.96715e-06,0,2.35908e-06,5.23287e-06,6.85485e-06,4.21925e-07,0.000315336
310,2.04841e-07,4.98954e-08,8.30681e-08,3.04658e-08,3.22267e-06,0,5.08953e-07,3.80837e-06,1.64093e-06,5.26503e-08,0.000121519
550,0.001569107,0.001369457,0.000439268,4.78415e-05,0.004009331,0,0.000268128,0.002801938,0.004727098,8.58012e-05,0.002446125
330,3.99158e-07,2.70597e-07,5.64995e-07,1.46782e-08,2.02818e-06,0,7.78192e-07,2.81863e-06,1.7091e-06,2.15845e-08,0.000125313
90,5.86374e-07,2.40957e-06,2.06637e-06,2.47973e-08,5.77617e-06,0,1.95633e-06,4.33687e-06,5.68364e-06,3.50079e-07,0.000313664
730,1.63081e-06,3.61562e-06,4.035e-06,3.60697e-08,8.98435e-06,0,4.01759e-06,8.89091e-06,9.84644e-06,4.17988e-07,0.000133864
650,0.001492919,0.000501396,0.002733292,5.36993e-05,0.001719551,0,0.000570618,0.002302133,0.003840081,0.000293879,0.004392916
30,4.18563e-07,2.6889e-07,5.57905e-07,1.92225e-08,2.49123e-06,0,8.3433e-07,3.35018e-06,1.91978e-06,2.95782e-08,0.000113962
890,1.75532e-05,1.14219e-05,4.94452e-06,3.5141e-11,5.90419e-05,0,2.45022e-06,0.000226194,0.00023518,8.17324e-07,0.00080885
230,5.98477e-07,4.72785e-07,1.00414e-06,4.26942e-09,1.33716e-06,0,1.07558e-06,2.37651e-06,1.96395e-06,4.55308e-10,0.000139554
170,1.03342e-06,8.20169e-07,1.74086e-06,7.17545e-09,2.31817e-06,0,1.86743e-06,4.12262e-06,3.3981e-06,0,0.000113845
590,0.001319752,0.003150107,0.001709606,8.96383e-05,0.004317261,0,0.000612124,0.005117308,0.007437473,0.000386126,0.008811113
290,5.34778e-07,2.19755e-06,1.88455e-06,2.26154e-08,5.26791e-06,0,1.78418e-06,3.95526e-06,5.18353e-06,3.19275e-07,0.000275211
1190,9.76992e-07,7.75384e-07,1.6458e-06,6.78363e-09,2.19159e-06,0,1.76545e-06,3.8975e-06,3.21255e-06,0,0.00011373
770,3.34427e-07,1.37427e-06,3.34279e-06,1.41426e-08,1.29869e-05,0,4.06507e-06,2.90171e-05,1.50387e-05,1.9966e-07,0.000191332
1230,8.10241e-07,6.43042e-07,1.3649e-06,5.62581e-09,1.81753e-06,0,1.46413e-06,3.23228e-06,2.66423e-06,0,0.000110621
810,9.01363e-07,7.15361e-07,1.5184e-06,6.25851e-09,2.02194e-06,0,1.62879e-06,3.5958e-06,2.96386e-06,0,0.000114173
510,5.40295e-07,4.02966e-07,8.50082e-07,1.04111e-08,1.84557e-06,0,1.00816e-06,2.84127e-06,1.99842e-06,1.20725e-08,0.000115379
630,4.76307e-07,3.78018e-07,8.02367e-07,3.30718e-09,1.06845e-06,0,8.60701e-07,1.90013e-06,1.56619e-06,0,0.000112305
1250,1.08349e-06,3.42477e-06,3.24812e-06,3.48655e-08,8.31535e-06,0,3.1409e-06,6.95773e-06,8.51716e-06,4.61837e-07,0.000110944
990,1.26877e-06,1.00695e-06,2.13732e-06,8.80956e-09,2.8461e-06,0,2.29271e-06,5.06149e-06,4.17197e-06,0,0.000113029
450,0.002637352,0.002455395,0.001985848,9.98674e-06,2.06499e-08,0,0.000732511,0.003897811,0.009637581,0.001625417,0.002650413
1130,9.24985e-07,6.92261e-07,1.46088e-06,1.72092e-08,3.10116e-06,0,1.72302e-06,4.80095e-06,3.40082e-06,1.95542e-08,0.000118944
130,1.35312e-07,3.29594e-08,5.48722e-08,2.01248e-08,2.12879e-06,0,3.36198e-07,2.51569e-06,1.08395e-06,3.47791e-08,0.000124042
1050,0.002596914,0.004084392,0.001736226,2.95058e-05,0.003693282,0,0.000837077,0.003881971,0.007660652,0.000281895,0.003930883
470,3.17745e-08,1.3057e-07,4.87857e-06,1.34372e-09,2.16598e-05,0,6.60152e-06,5.86946e-05,2.629e-05,1.89702e-08,5.07e-05
710,2.16169e-05,5.56188e-05,0.000205208,4.89809e-09,0.000176715,0,3.54713e-05,0.000259209,0.000288181,6.91489e-08,0.000597201
